a,diameter,rot_per
2.41676249697091,43.68,80.
2.7941924,35.43,11.77
3.1823079,66.47,6.455
2.740669,157.51,10.83
2.3616355,49.99,19.6
2.73174209393759,130.40,10.663
2.7616548,38.61,11.974
3.98118203001518,159,6.52
2.89472237012633,101.03,27.80
2.40297645716532,103.26,13.622
2.6171867593426,168.42,15.67
2.8791922,85.71,16.521
3.1171185379099,136.39,8.343
2.7424953,29.18,6.54
2.4603173,57.16,10.383
2.73674291847277,128.36,19.
2.6790358,68.39,3.7474
3.074234,86.15,15.74
2.73661197470357,116.25,46.6
2.6728622,48.57,14.1
2.73965703559811,113,11.11
2.8916898,41.33,14.085
3.14850857113503,159.94,5.7366
3.04033659776146,143.19,18.365
3.1119027,136.12,10.283
2.75407809250333,83.01,8.045
2.6112477,23.16,6.835
2.766433,35.51,20.
2.79467255223235,135.07,5.385
2.8771055,66.24,12.54
2.6659343,60.62,6.337
2.3546921,40.56,29.842
2.3478059,31.12,18.198
3.0117346,103.87,10.436
3.134341,54.66,7.
2.6445906,61.82,9.385
3.38646957870976,120.49,7.356
2.2018088,9.30,6.484
3.4150494,93.20,6.60
2.38294184559598,108.99,23.9845
2.9198606,82.33,14.244
2.6600393,102.78,19.70
2.3860869,43.75,26.5
2.883137,57.58,17.56
2.8028187,86.20,12.333
2.9068875,148.49,8.86
2.9750641,41.52,18.347
2.6638977,103.90,10.64
3.05098048370839,168.90,15.51
2.8629741,38.90,4.543
2.86149916397912,27.99,4.634
3.09772574638001,79.50,14.38
2.6944465,60.10,16.222
2.74041179445558,134.43,12.10
2.47162256468303,48.66,12.00
3.1551085,79.75,5.0544
2.64672803563523,58.05,417.7
2.1946984,12.11,6.0
3.1155376,72.66,15.7059
2.6148891,64.78,10.041
3.45255026853777,94.67,8.29
2.331950163816,50.93,8.002
2.8854086,23.24,16.809
2.8014744,50.48,9.238
2.4203571,23.66,11.681
2.80397372259604,109.09,12.3
2.77257508572576,52.68,7.468
3.0946842,139.89,7.8
2.6173612,53.62,16.545
2.19801450170873,50.78,15.06
2.3950417,29.27,20.
3.0397165,26.57,17.96
3.1140632,121.60,6.32
2.8893733,27.19,29.69
2.7552144,35.01,6.497
4.2749937,126.59,7.44
2.1875609,11.76,4.348
2.3394066,39.03,6.42
3.0423808,148.06,6.888
2.35795289861899,52.95,8.545
3.1945037,94.30,15.365
2.35305239179326,67.60,7.603
2.7550753,32.21,1200.
2.8718133,33.73,6.902
2.222456,14.97,4.32
2.5288945,32.50,8.93
2.7975359,27.72,10.70
3.1607754,39.48,4.163
3.2071447,80.18,6.818
2.7248296,54.32,12.24
2.4052736,38.53,14.381
3.1206601,99.29,12.502
2.4032426,67.86,18.36
3.1029367,49.17,16.2
2.3581155,46.70,8.740
2.9138467,54.96,7.902
2.7493162,140.69,12.032
2.6652623,45.32,13.2
2.8973968,24.05,7.532
2.7817729,49.96,10.282
2.3759744,96.34,8.392
3.1705688,47.92,8.605
2.286622,18.67,8.169
2.885291,27.23,2.871
2.7855863,70.84,17.5845
2.3814746,35.82,9.46
2.68264264010563,229.44,29.43
3.2026955,75.72,6.737
2.3173768699009,93.00,14.184
2.7761262,26.1,6.55
2.4764153,77.80,15.201
3.0226924,74.92,6.82
2.7727941,40.37,6.003
3.1282139,78.17,9.96
3.8873973783847,158.55,7.35
2.4748078,89.07,12.035
2.25208910341778,69.31,13.70
2.38290551414292,59.11,4.6537
2.9115418,63.11,4.6
3.0147158,38.25,5.5
2.7454537,30.24,7.7
2.569147,60.63,7.05
2.59510221244579,132.27,10.77
2.32543827089267,94.12,12.371
2.7949215,106.52,28.43
2.612979,51.36,4.0529
2.9696472,82.82,7.385
2.92482774516788,139.77,4.7012
3.1115337,118.35,9.17
2.7635264,39.59,13.29
2.1940344,20.27,7.490
2.80007390407359,155.17,4.277
2.5380114,22.79,4.830
2.7555222,131.31,31.82
3.1557579,106.10,34.97
2.7298762,43.89,5.533
2.998872,115.76,6.188
3.95456889542503,141.72,13.83
2.5783928,98,18.
2.74673812996455,97,8.401
2.2215143,27.99,9.155
2.805832,105.92,6.354
2.219094,19.13,5.05
3.0737905769226,69.61,8.642
2.6486934,60.00,4.787
2.7264784,54.64,10.739
3.14506133301218,188.62,8.5910
3.1124429,95.77,12.97
2.7800647,44.67,6.972
3.1235746,216,16.83
2.288543,34.91,7.734
2.6916253,91.05,8.507
2.7757789,26.74,4.450
3.13034191098073,92.33,7.022
2.6783738,73.19,13.69
3.2197803,120.58,6.572
3.1155359,58.37,4.116
3.1438707,45.52,6.4
2.84750016840712,91.53,62.35
2.89488754804412,165.01,9.763
2.73940400225402,100.51,24.144
3.00610688705358,114.17,9.516
2.60869505789527,79.23,8.53
2.6524292,23.74,3.74
2.77921314885889,96.89,38.7
2.7604573,31.32,16.5
2.7859943,50.98,19.706
2.63506019207128,43.34,15.48
3.056097,49.13,9.136
3.1276726,33.66,6.87
3.34523291188756,99.12,6.049
2.5594705,54.21,7.111
2.8109255,49.49,12.288
2.59463630445613,97.71,8.887
2.58358440254961,124.90,10.08
2.9144996,49.19,8.789
2.5760172726743,161.61,9.020
2.7282097,123.57,32.50
2.9345087,76.53,7.480
2.7630172,90.96,19.67
2.5856724,31.95,15.
2.7908176,76.34,20.73
2.79173433141889,85.47,5.372
2.8018131,40.69,7.034
2.5924325,34.10,4.671
2.59631084963058,129.01,16.709
3.41289519498093,141.25,11.017
3.06623389832151,208.77,4.775
2.7728132,87.20,19.47
2.8874968,63.85,17.56
2.88792723451232,127.10,34.3
2.3076392,17.65,3.634
2.60679648773713,69.62,13.577
2.8452658,33.33,7.205
3.1394269,95.03,9.102
2.3687872,46.90,8.252
1.4580892888287,16.84,5.270
2.4495837,41.49,4.623
3.2026286,59.53,16.133
2.5530311,61.14,8.831
3.1318611,76.57,19.2
2.8056691,70.32,10.447
2.3452662,66.73,11.871
2.77418420545597,163.08,6.214
3.2011467,87.17,19.97
2.7879731,45.40,15.85
2.9878526,79.22,9.651
3.06071163502954,224.96,9.727
2.1831125,20.93,6.4
2.6270338432021,81.57,7.075
2.65574644717306,84.41,11.838
2.7860245,39.76,18.203
2.9929133,38.75,22.3
2.6200976,29.32,6.38
2.8758675,35.63,8.64
2.39797818650586,19.97,6.206
2.8069703,74.04,12.91
