full_name,a,year
"385362 (2002 PT170)",46.13904910037719,2002
"385363 (2002 PW170)",44.78321454271798,2002
"385437 (2003 GH55)",44.50362591218865,2003
"385445 (2003 QH91)",39.42037750804764,2003
"385446 Manwe (2003 QW111)",43.5796462481054,2003
"385447 (2003 QF113)",43.77474731871716,2003
"385458 (2003 SP317)",45.75099556996867,2003
"385527 (2004 OK14)",43.78166097377617,2004
"385528 (2004 OR15)",56.42170069620962,2004
"385533 (2004 QD29)",43.02785969344025,2004
"385607 (2005 EO297)",63.11026374979797,2005
"386723 (2009 YE7)",44.1649807061834,2009
"408832 (2001 QJ298)",43.99097493222496,2001
"413666 (2005 VJ119)",35.59094667036114,2005
"415720 (1999 RU215)",42.8423422235843,1999
"416400 (2003 UZ117)",44.05112932534078,2003
"418993 (2009 MS9)",355.2689212457564,2009
"420356 Praamzius (2012 BX85)",42.77935081118257,2012
"427581 (2003 QB92)",34.81822378200972,2003
"427614 (2003 SR422)",39.9345277314744,2003
"432949 (2012 HH2)",35.11777779584985,2012
"434194 (2003 FK127)",42.84627038618663,2003
"434390 (2005 CH81)",55.53150758107763,2005
"434709 (2006 CJ69)",42.42036614646381,2006
"437360 (2013 TV158)",109.7790924151862,2013
"437871 (2001 FN185)",42.82385092631341,2001
"437915 (2002 GD32)",44.762906538001,2002
"438028 (2004 EH96)",39.77139598499195,2004
"439858 (1999 ON4)",42.57117564356393,1999
"443843 (2001 FO185)",46.83615562164768,2001
"444018 (2004 EU95)",44.49696691797342,2004
"444025 (2004 HJ79)",44.28547745981435,2004
"444030 (2004 NT33)",43.42624127671429,2004
"444745 (2007 JF43)",39.60045940487703,2007
"445473 (2010 VZ98)",150.4828381581724,2010
"450265 (2003 WU172)",39.12635657554964,2003
"451657 (2012 WD36)",75.96104303109627,2012
"455171 (1999 OM4)",45.94117831753704,1999
"455206 (2001 FE193)",47.011822401686,2001
"455209 (2001 KT76)",45.43767193448111,2001
"455502 (2003 UZ413)",39.07523198223129,2003
"456826 (2007 TH422)",39.17306216130947,2007
"468422 (2000 FA8)",44.26163411330681,2000
"468861 (2013 LU28)",173.4933937833092,2013
"469306 (1999 CD158)",43.77459234420424,1999
"469333 (2000 PE30)",54.37901180941201,2000
"469361 (2001 HY65)",43.47514060592295,2001
"469362 (2001 KB77)",39.88201281454755,2001
"469372 (2001 QF298)",39.26863357729533,2001
"469420 (2001 XP254)",42.27785956751776,2001
"469421 (2001 XD255)",39.45645654213263,2001
"469438 (2002 GV31)",44.28628390404935,2002
"469442 (2002 GG166)",34.79523413057018,2002
"469505 (2003 FE128)",48.42833096553755,2003
"469506 (2003 FF128)",39.84747759873142,2003
"469509 (2003 HC57)",44.36527425373045,2003
"469514 (2003 QA91)",44.29264149514994,2003
"469584 (2003 YW179)",42.25154603231534,2003
"469610 (2004 HF79)",43.58032789688148,2004
"469615 (2004 PT107)",40.51040042283077,2004
"469704 (2005 EZ296)",39.76216630302847,2005
"469705 (2005 EF298)",44.25877514407464,2005
"469707 (2005 GB187)",39.77981420752823,2005
"469708 (2005 GE187)",39.66489652522225,2005
"469750 (2005 PU21)",170.9197806098126,2005
"469987 (2006 HJ123)",39.71331237252428,2006
"470027 (2006 RC103)",41.76424165457323,2006
"470083 (2006 SG369)",47.48096732959917,2006
"470308 (2007 JH43)",39.66650978934855,2007
"470309 (2007 JK43)",46.60336818552413,2007
"470316 (2007 OC10)",49.66123272962719,2007
"470443 (2007 XV50)",45.79535089831377,2007
"470523 (2008 CS190)",42.49619420049979,2008
"470593 (2008 LP17)",91.36870108943462,2008
"470596 (2008 NW4)",45.12995588308197,2008
"470599 (2008 OG19)",66.78790188924241,2008
"471137 (2010 ET65)",62.82572469112478,2010
"471143 (2010 EK139)",70.4520183055686,2010
"471150 (2010 FC49)",39.15530553264177,2010
"471151 (2010 FD49)",56.08046260278468,2010
"471152 (2010 FE49)",54.38428865890071,2010
"471155 (2010 GF65)",33.59043564845977,2010
"471165 (2010 HE79)",39.22917792792556,2010
"471172 (2010 JC80)",55.92628580536165,2010
"471196 (2010 PK66)",40.75999177921042,2010
"471210 (2010 VW11)",50.3339364113715,2010
"471272 (2011 FY9)",59.55129201840818,2011
"471288 (2011 GM27)",43.92924193895008,2011
"471318 (2011 JF31)",41.69980447176355,2011
"471325 (2011 KT19)",35.58154428724241,2011
"471921 (2013 FC28)",46.16684363638388,2013
"471954 (2013 RM98)",43.23758608552868,2013
"472231 (2014 FU71)",43.89708644080692,2014
"472232 (2014 FW71)",43.28712509605469,2014
"472235 (2014 GE45)",56.17095582662807,2014
"472262 (2014 QN441)",45.89378356922606,2014
"472271 (2014 UM33)",42.84627308934431,2014
"474640 (2004 VN112)",315.3978568964308,2004
"480017 (2014 QB442)",65.86901444727698,2014
"482824 (2013 XC26)",42.44281114416781,2013
"483002 (2014 QS441)",46.81491410112158,2014
"486958 (2014 MU69)",44.45801964187215,2014
"487581 (2015 BE519)",47.92395692517976,2015
"488644 (2003 HY56)",42.91035937751275,2003
"491767 (2012 VU113)",39.33015539854128,2012
"491768 (2012 VV113)",45.84387276743239,2012
"493480 (2014 YZ49)",40.43599809611003,2014
"       (1993 RP)",39.32915816691289,1993
"       (1994 ES2)",46.14608938533617,1994
"       (1994 EV3)",43.1399070916129,1994
"       (1994 TG)",42.2566142015222,1994
"       (1994 TH)",40.94243406270702,1994
"       (1994 TG2)",42.44841375321722,1994
"       (1995 DB2)",46.68180272113934,1995
"       (1995 DC2)",44.37026588219855,1995
"       (1995 FB21)",42.42487769826739,1995
"       (1995 GJ)",42.90307030239703,1995
"       (1995 GA7)",39.45185981688199,1995
"       (1995 GY7)",41.3457406342804,1995
"       (1995 HM5)",39.88571268706391,1995
"       (1995 KJ1)",43.46927079604143,1995
"       (1995 KK1)",39.47305226934023,1995
"       (1995 WY2)",46.40350249275991,1995
"       (1995 YY3)",38.76866177738347,1995
"       (1996 AS20)",35.79304661197678,1996
"       (1996 KV1)",45.4129826764799,1996
"       (1996 KX1)",39.54025779031826,1996
"       (1996 KY1)",39.51624317275235,1996
"       (1996 PW)",251.9040555661384,1996
"       (1996 RQ20)",43.6622474512067,1996
"       (1996 RR20)",39.41720325423587,1996
"       (1996 TK66)",42.44964047078511,1996
"       (1996 TS66)",43.69497017377604,1996
"       (1997 CT29)",43.90857267329002,1997
"       (1997 CV29)",42.3900784062586,1997
"       (1997 CW29)",39.3750956013558,1997
"       (1997 GA45)",43.88713233157799,1997
"       (1997 QH4)",42.50417315303322,1997
"       (1997 RY6)",41.35944406539421,1997
"       (1997 RX9)",41.44511284814227,1997
"       (1997 RL13)",44.5212816695553,1997
"       (1997 SZ10)",47.6021994855325,1997
"       (1997 TX8)",39.31733692164056,1997
"       (1997 UF25)",44.89483905585926,1997
"       (1997 UG25)",43.31045467285523,1997
"       (1998 FS144)",42.028089807337,1998
"       (1998 HH151)",39.67257438555215,1998
"       (1998 HL151)",40.99332644250006,1998
"       (1998 HN151)",38.1928170719723,1998
"       (1998 HO151)",41.64632077185012,1998
"       (1998 HQ151)",39.69012066328467,1998
"       (1998 HR151)",45.50936210924267,1998
"       (1998 KY61)",44.32844892361248,1998
"       (1998 KS65)",43.75641932384277,1998
"       (1998 KD66)",43.07607863033613,1998
"       (1998 KE66)",42.05758090590659,1998
"       (1998 KF66)",39.50235767788868,1998
"       (1998 KG66)",45.19504304028936,1998
"       (1998 UR43)",39.32258595975216,1998
"       (1998 UU43)",36.33664788482316,1998
"       (1998 WG24)",45.50722555308793,1998
"       (1998 WV24)",38.82823697860162,1998
"       (1998 WX24)",43.15586145887076,1998
"       (1998 WY24)",43.11957962672229,1998
"       (1998 WZ24)",39.48090282722799,1998
"       (1998 WS31)",39.20289311037686,1998
"       (1998 WV31)",39.08126716837985,1998
"       (1998 WW31)",44.48569638945733,1998
"       (1998 WX31)",45.31749850907352,1998
"       (1998 WY31)",45.11612175040177,1998
"       (1998 WZ31)",39.39277048172957,1998
"       (1998 XY95)",64.24066245412669,1998
"       (1999 CW118)",43.45216624894407,1999
"       (1999 CX118)",43.66231974279808,1999
"       (1999 CY118)",92.04828037605488,1999
"       (1999 CZ118)",119.9871407753902,1999
"       (1999 CA119)",45.15063570070424,1999
"       (1999 CB119)",47.25835997213151,1999
"       (1999 CC119)",45.08308201827179,1999
"       (1999 CD119)",43.99348605394755,1999
"       (1999 CF119)",89.67698604961377,1999
"       (1999 CH119)",43.41651999948648,1999
"       (1999 CJ119)",45.49025429951418,1999
"       (1999 CK119)",42.08309183890324,1999
"       (1999 CL119)",47.02725440536076,1999
"       (1999 CM119)",44.10068182114512,1999
"       (1999 CN119)",43.89478414304705,1999
"       (1999 CW131)",43.14678356035628,1999
"       (1999 CX131)",42.47124774313367,1999
"       (1999 CY131)",43.92412899860683,1999
"       (1999 CZ131)",44.4116140209369,1999
"       (1999 CA132)",43.96606505341128,1999
"       (1999 CQ133)",41.43448621193557,1999
"       (1999 CR133)",42.25149726473559,1999
"       (1999 CM153)",45.91445085750077,1999
"       (1999 CN153)",42.59413906366189,1999
"       (1999 CP153)",44.18130556709275,1999
"       (1999 CQ153)",44.33420032428888,1999
"       (1999 CR153)",43.12248000072326,1999
"       (1999 CS153)",44.43704156130405,1999
"       (1999 CT153)",45.11540367207893,1999
"       (1999 CU153)",44.33866051672573,1999
"       (1999 CG154)",43.19663863708872,1999
"       (1999 CH154)",43.16898916819792,1999
"       (1999 CK158)",40.95595503343857,1999
"       (1999 CM158)",39.74762983941372,1999
"       (1999 DA)",43.44631315808643,1999
"       (1999 DZ7)",39.41337921057391,1999
"       (1999 DA8)",39.31843263939115,1999
"       (1999 DB8)",42.50927796921788,1999
"       (1999 DC8)",45.88616172837141,1999
"       (1999 DD8)",39.40692776242654,1999
"       (1999 DE8)",45.60673125617457,1999
"       (1999 DF8)",44.16450289149029,1999
"       (1999 DG8)",82.22281989771176,1999
"       (1999 DH8)",44.32525651405662,1999
"       (1999 DL8)",42.51615336366675,1999
"       (1999 DM8)",42.88440405182035,1999
"       (1999 DN8)",44.34060111993791,1999
"       (1999 DO8)",41.79349920928875,1999
"       (1999 DP8)",115.772565424375,1999
"       (1999 DQ8)",45.32036266827759,1999
"       (1999 DR8)",45.5224351011185,1999
"       (1999 GS46)",44.90224687104092,1999
"       (1999 HS11)",44.43307707568097,1999
"       (1999 HV11)",43.23302032309762,1999
"       (1999 HY11)",42.15890598958591,1999
"       (1999 HZ11)",42.38259547135927,1999
"       (1999 HA12)",43.13979937844449,1999
"       (1999 HG12)",43.95702606414523,1999
"       (1999 HH12)",43.86169475049832,1999
"       (1999 HJ12)",43.35035699586771,1999
"       (1999 JA132)",44.58217859677374,1999
"       (1999 JB132)",39.53488004771763,1999
"       (1999 JC132)",39.529265767224,1999
"       (1999 JD132)",43.58132162777338,1999
"       (1999 JE132)",39.44021216488116,1999
"       (1999 JF132)",44.46219237364319,1999
"       (1999 JH132)",42.00662823395736,1999
"       (1999 JJ132)",45.79248843135549,1999
"       (1999 JK132)",39.33942248018988,1999
"       (1999 KT16)",46.41490237105292,1999
"       (1999 KK17)",45.54173271522549,1999
"       (1999 KL17)",46.23742408723294,1999
"       (1999 KR18)",43.59184047114246,1999
"       (1999 LB37)",39.49419993077326,1999
"       (1999 OZ3)",43.88771035452999,1999
"       (1999 OA4)",44.33876228470523,1999
"       (1999 OC4)",45.43819223594131,1999
"       (1999 OD4)",41.39457339059247,1999
"       (1999 OG4)",46.98031554930211,1999
"       (1999 OH4)",40.4413263897156,1999
"       (1999 OJ4)",37.95121475429453,1999
"       (1999 OK4)",43.2699164646512,1999
"       (1999 RS214)",42.96606696621375,1999
"       (1999 RT214)",42.45579940261923,1999
"       (1999 RU214)",55.70376982656582,1999
"       (1999 RV214)",46.73915133197561,1999
"       (1999 RW214)",42.71629342841578,1999
"       (1999 RX214)",45.92283737612173,1999
